Region,April 2019,July 2019,October 2019,January 2020,April 2020,July 2020,October 2020,January 2021,April 2021,July 2021,October 2021,January 2022,April 2022,July 2022,October 2022,January 2023,April 2023,July 2023,October 2023,January 2024,April 2024
Philippines, 5.1 , 5.4 , 4.5 , 4.6 , 17.7 , 10.0 , 8.7 ,8.7 ,8.7 , 6.9 , 7.4 , 6.4 , 5.7 , 5.2 , 4.5 , 4.8 , 4.5 , 4.8 , 4.2 , 4.5 , 4.0 
National Capital Region (NCR), 6.3 , 6.1 , 4.6 , 4.8 , 12.3 , 15.8 , 12.4 ,8.8 ,14.4 , 9.01 , 9.3 , 7.3 , 7.5 , 6.9 , 5.6 , 5.7 , 5.3 , 4.9 , 5.4 , 4.6 , 4.4 
Cordillera Administrative Region (CAR), 2.9 , 3.5 , 2.8 , 2.8 , 25.3 , 9.6 , 5.5 ,6.3 ,6.0 , 3.83 , 5.1 , 5.1 , 4.4 , 4.2 , 3.0 , 3.4 , 2.7 , 4.1 , 3.3 , 3.3 , 3.8 
Region I (Ilocos Region), 6.0 , 4.9 , 5.2 , 5.2 , 22.3 , 11.1 , 11.5 ,9.3 ,7.5 , 6.40 , 8.4 , 7.2 , 5.9 , 5.1 , 4.0 , 4.5 , 4.5 , 4.4 , 4.7 , 4.0 , 3.5 
Region II (Cagayan Valley), 3.1 , 4.2 , 3.5 , 3.6 , 15.6 , 9.4 , 5.8 ,6.0 ,8.8 , 4.06 , 3.4 , 4.3 , 3.8 , 2.8 , 3.7 , 3.0 , 2.4 , 3.3 , 3.7 , 2.9 , 3.6 
Region III (Central Luzon), 5.2 , 5.2 , 4.7 , 4.8 , 27.3 , 10.9 , 9.6 ,8.5 ,8.8 , 6.24 , 7.2 , 5.7 , 5.2 , 5.0 , 4.7 , 4.3 , 4.7 , 4.4 , 3.3 , 4.3 , 3.3 
Region IV-A (CALABARZON), 5.4 , 7.2 , 5.8 , 5.8 , 16.7 , 12.4 , 11.0 ,13.1 ,13.4 , 7.67 , 10.3 , 7.4 , 6.8 , 6.3 , 5.7 , 5.9 , 5.5 , 5.9 , 5.3 , 5.9 , 5.3 
MIMAROPA Region, 4.8 , 4.4 , 3.7 , 3.7 , 15.3 , 5.7 , 7.9 ,9.3 ,5.9 , 7.09 , 10.0 , 6.5 , 5.2 , 5.2 , 5.2 , 4.9 , 2.9 , 4.3 , 3.8 , 4.4 , 4.1 
Region V (Bicol Region), 5.6 , 5.0 , 4.8 , 4.6 , 15.7 , 9.1 , 8.2 ,11.3 ,7.0 , 7.89 , 9.0 , 7.8 , 6.2 , 5.2 , 4.4 , 6.6 , 3.9 , 6.2 , 4.2 , 5.6 , 5.4 
Region VI (Western Visayas), 4.8 , 5.9 , 4.2 , 4.2 , 13.7 , 6.3 , 5.9 ,9.1 ,7.5 , 6.74 , 5.8 , 4.7 , 5.6 , 6.0 , 5.1 , 5.6 , 4.3 , 4.5 , 3.4 , 3.5 , 4.0 
Region VII (Central Visayas), 5.3 , 6.0 , 4.3 , 4.3 , 16.7 , 11.7 , 9.9 ,7.1 ,8.2 , 8.83 , 7.0 , 8.1 , 5.2 , 4.6 , 5.8 , 4.2 , 5.2 , 5.5 , 4.0 , 5.1 , 4.0 
Region VIII (Eastern Visayas), 4.0 , 4.3 , 4.3 , 4.2 , 14.3 , 8.1 , 5.3 ,7.6 ,5.0 , 6.15 , 7.6 , 7.0 , 6.0 , 4.5 , 3.0 , 3.8 , 4.2 , 5.1 , 4.2 , 5.4 , 3.0 
Region IX (Zamboanga Peninsula), 4.6 , 4.1 , 1.9 , 1.9 , 23.9 , 6.3 , 7.5 ,3.6 ,3.3 , 4.85 , 5.0 , 5.0 , 2.9 , 4.1 , 2.0 , 2.6 , 2.8 , 4.5 , 4.8 , 3.9 , 2.3 
Region X (Northern Mindanao), 5.0 , 4.9 , 3.5 , 3.5 , 11.1 , 6.0 , 5.6 ,7.1 ,5.5 , 4.92 , 4.1 , 5.1 , 4.1 , 5.3 , 3.7 , 4.6 , 5.3 , 5.4 , 4.6 , 4.2 , 4.4 
Region XI (Davao Region), 3.1 , 3.3 , 4.1 , 4.2 , 17.9 , 8.0 , 6.8 ,5.4 ,4.2 , 4.96 , 5.5 , 4.8 , 3.8 , 2.9 , 3.5 , 4.5 , 3.3 , 3.5 , 2.9 , 3.3 , 3.6 
Region XII (SOCCSKSARGEN), 4.6 , 4.3 , 4.1 , 4.1 , 21.2 , 6.7 , 6.3 ,6.8 ,4.8 , 4.88 , 4.8 , 4.5 , 5.4 , 4.0 , 3.7 , 3.5 , 4.0 , 3.6 , 3.2 , 3.3 , 3.8 
Region XIII (Caraga), 4.1 , 4.9 , 4.6 , 4.6 , 12.3 , 6.7 , 7.6 ,9.0 ,5.8 , 6.62 , 4.9 , 5.9 , 4.1 , 3.1 , 3.7 , 5.0 , 3.0 , 5.1 , 3.3 , 5.1 , 4.0 
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM), 8.3 , 4.4 , 6.6 , 6.2 , 29.8 , 3.8 , 3.4 ,7.6 ,6.6 , 8.15 , 6.6 , 7.0 , 8.1 , 5.6 , 2.4 , 3.2 , 4.3 , 4.0 , 3.3 , 2.9 , 3.0 
